method,n,objective_accuracy,mean_relative_error,median_relative_error,mean_objective_gap,median_objective_gap
Best-of-K,100,0.81,0.15701977638922446,0.0,0.15701977638922446,0.0
Consensus only,100,0.8,0.16103655740803302,0.0,0.16103655740803302,0.0
Direct,100,0.67,0.14746602743650278,0.0,0.14746602743650278,0.0
ReplenishVerifier-ConsensusSafe,100,0.8,0.16103655740803302,0.0,0.16103655740803302,0.0
ReplenishVerifier-Full,100,0.81,0.152981575186416,0.0,0.152981575186416,0.0
ReplenishVerifier-FullV2,100,0.81,0.152981575186416,0.0,0.152981575186416,0.0
ReplenishVerifier-HybridSafe,100,0.8,0.16103655740803302,0.0,0.16103655740803302,0.0
ReplenishVerifier-TypeAware,100,0.8,0.06909311975255193,0.0,0.06909311975255193,0.0
ReplenishVerifier-TypeAware-Consensus,100,0.81,0.15673177466999227,0.0,0.15673177466999227,0.0
Solver only,100,0.78,0.1735049389666212,0.0,0.1735049389666212,0.0
Structure only,100,0.81,0.16472504985684194,0.0,0.16472504985684194,0.0
